Date,Category,Amount,Description
2024-01-01,Salary,4454.34,Salary expense
2024-01-01,Rent,570.3,Rent expense
2024-01-01,Groceries,275.3,Groceries expense
2024-01-01,Utilities,886.22,Utilities expense
2024-01-01,Entertainment,857.17,Entertainment expense
2024-01-01,Savings,1432.9,Savings expense
2024-01-31,Salary,3972.16,Salary expense
2024-01-31,Rent,743.88,Rent expense
2024-01-31,Groceries,330.54,Groceries expense
2024-01-31,Utilities,591.41,Utilities expense
2024-01-31,Entertainment,447.16,Entertainment expense
2024-01-31,Savings,892.34,Savings expense
2024-03-01,Salary,3309.05,Salary expense
2024-03-01,Rent,227.43,Rent expense
2024-03-01,Groceries,570.69,Groceries expense
2024-03-01,Utilities,784.6,Utilities expense
2024-03-01,Entertainment,127.45,Entertainment expense
2024-03-01,Savings,1289.61,Savings expense
2024-03-31,Salary,3703.15,Salary expense
2024-03-31,Rent,741.25,Rent expense
2024-03-31,Groceries,472.31,Groceries expense
2024-03-31,Utilities,950.63,Utilities expense
2024-03-31,Entertainment,992.66,Entertainment expense
2024-03-31,Savings,529.43,Savings expense
2024-04-30,Salary,3191.16,Salary expense
2024-04-30,Rent,826.64,Rent expense
2024-04-30,Groceries,922.58,Groceries expense
2024-04-30,Utilities,418.9,Utilities expense
2024-04-30,Entertainment,154.12,Entertainment expense
2024-04-30,Savings,853.39,Savings expense
2024-05-30,Salary,4258.99,Salary expense
2024-05-30,Rent,635.22,Rent expense
2024-05-30,Groceries,893.23,Groceries expense
2024-05-30,Utilities,261.85,Utilities expense
2024-05-30,Entertainment,974.76,Entertainment expense
2024-05-30,Savings,806.92,Savings expense
2024-06-29,Salary,3694.73,Salary expense
2024-06-29,Rent,550.64,Rent expense
2024-06-29,Groceries,176.83,Groceries expense
2024-06-29,Utilities,581.44,Utilities expense
2024-06-29,Entertainment,838.72,Entertainment expense
2024-06-29,Savings,1419.53,Savings expense
2024-07-29,Salary,4467.33,Salary expense
2024-07-29,Rent,871.05,Rent expense
2024-07-29,Groceries,609.91,Groceries expense
2024-07-29,Utilities,810.21,Utilities expense
2024-07-29,Entertainment,444.69,Entertainment expense
2024-07-29,Savings,1455.35,Savings expense
2024-08-28,Salary,3545.54,Salary expense
2024-08-28,Rent,171.65,Rent expense
2024-08-28,Groceries,104.25,Groceries expense
2024-08-28,Utilities,280.14,Utilities expense
2024-08-28,Entertainment,793.95,Entertainment expense
2024-08-28,Savings,615.44,Savings expense
2024-09-27,Salary,3816.29,Salary expense
2024-09-27,Rent,175.52,Rent expense
2024-09-27,Groceries,460.59,Groceries expense
2024-09-27,Utilities,887.97,Utilities expense
2024-09-27,Entertainment,585.07,Entertainment expense
2024-09-27,Savings,540.15,Savings expense
2024-10-27,Salary,3757.09,Salary expense
2024-10-27,Rent,440.85,Rent expense
2024-10-27,Groceries,456.88,Groceries expense
2024-10-27,Utilities,214.09,Utilities expense
2024-10-27,Entertainment,276.76,Entertainment expense
2024-10-27,Savings,1143.71,Savings expense
2024-11-26,Salary,4990.75,Salary expense
2024-11-26,Rent,305.31,Rent expense
2024-11-26,Groceries,564.82,Groceries expense
2024-11-26,Utilities,480.88,Utilities expense
2024-11-26,Entertainment,777.36,Entertainment expense
2024-11-26,Savings,1470.29,Savings expense
